reclass_cat,pixels,sqmeter,acreage,stock_abvgc_mtco2e_pixel_sum,stock_soilc_mtco2e_pix_sum,emit_no_mtco2e_pix_sum,net,year
Fallow,18246,16421400,4057.6723498888064,0,235189.27613709,0,235189.27613709,2012
Fodder,62181,55962900,13828.24314306894,25183.304996978004,927278.9113523399,859.849025049165,951602.3673242688,2012
Greenhouse,3628,3265200,806.8198665678281,0,50637.39976971,0,50637.39976971,2012
Orchard,57157,51441300,12710.971089696071,390794.41196999996,773028.8441181,1533.6237289036308,1162289.6323591962,2012
Pastureland,21505,19354500,4782.431430689399,0,283496.5091574,11.17315598397782,283485.336001416,2012
Row Crop,350884,315795600,78032.02372127502,94687.83690840026,3974855.7023308803,16906.940185810778,4052636.5990534695,2012
Vineyard,123080,110772000,27371.386212008896,117894.63959999998,1651443.51173067,932.6287530275597,1768405.5225776422,2012
Total,636681,573012900,141589.54781319495,628560.1934753782,7895930.15459619,20244.21484877511,8504246.133222792,2012
