reclass_cat,pixels,sqmeter,acreage,stock_abvgc_mtco2e_pixel_sum,stock_soilc_mtco2e_pix_sum,emit_no_mtco2e_pix_sum,net,year
Fallow,36096,32486400,8027.279466271312,0,362118.31416891003,0,362118.31416891003,2019
Fodder,112926,101633400,25113.269088213492,45735.029994511795,1899782.8770963603,1561.5591740676714,1943956.3479168045,2019
Greenhouse,7608,6847200,1691.9199406968125,0,57148.38748836,0,57148.38748836,2019
Orchard,61306,55175400,13633.654558932543,419161.9962599999,837795.4374097801,1853.481321904332,1255103.9523478756,2019
Pastureland,10616,9554400,2360.859896219422,0,161152.93080009,146.79978208652045,161006.13101800348,2019
Row Crop,308996,278096400,68716.6790214974,83384.14647960023,3671360.71114293,14895.752117980364,3739849.10550455,2019
Vineyard,142845,128560500,31766.86434395849,136826.94014999998,1883545.6617745198,1073.523909365122,2019299.0780151547,2019
Total,680393,612353700,151310.52631578947,685108.1128841119,8872904.319880951,19531.11630540401,9538481.316459658,2019
